Standard.Reference,StandardChapter.Reference,StandardContent.Reference,QuestionGroup.IDs,Characteristic.IDs
GGAP_AF,AF 1.1,AF 1.1.1,3,16
GGAP_AF,AF 1.1.,AF 1.1.2 ,3,16
GGAP_AF,AF 1.2.,AF 1.2.1 ,12,16
GGAP_AF,AF 1.2,AF 1.2.2,4,16
GGAP_AF,AF 2.,AF 2.1 ,#N/A,#N/A
GGAP_AF,AF 2.,AF 2.2 ,#N/A,#N/A
GGAP_AF,AF 2,AF 2.3,#N/A,#N/A
GGAP_AF,AF 3,AF 3.1,12,27
GGAP_AF,AF 3,AF 3.2,4,27
GGAP_AF,AF 3,AF 3.3,6,27
GGAP_AF,AF 3,AF 3.4,4,27
GGAP_AF,AF 4.1,AF 4.1.1,12,25
GGAP_AF,AF 4.1,AF 4.1.2,4,25
GGAP_AF,AF 4.1,AF 4.1.3,6,25
GGAP_AF,AF 4.2,AF 4.2.1,6,25
GGAP_AF,AF 4.2,AF 4.2.2,6,25
GGAP_AF,AF 4.3,AF 4.3.1,4,25
GGAP_AF,AF 4.3,AF 4.3.2,6,25
GGAP_AF,AF 4.3,AF 4.3.3,6,25
GGAP_AF,AF 4.3,AF 4.3.4,6,25
GGAP_AF,AF 4.3,AF 4.3.5,6,25
GGAP_AF,AF 4.4,AF 4.4.1,6,25
GGAP_AF,AF 4.4,AF 4.4.2,6,25
GGAP_AF,AF 4.5,AF 4.5.1,1,25
GGAP_AF,AF 4.5,AF 4.5.2,6,25
GGAP_AF,AF 4.5,AF 4.5.3,6,25
GGAP_AF,AF 4.5,AF 4.5.4,6,25
GGAP_AF,AF 4.5,AF 4.5.5,6,25
GGAP_AF,AF 5,AF 5.1,6,25
GGAP_AF,AF 6.1,AF 6.1.1,12,42
GGAP_AF,AF 6.2,AF 6.2.1,4,42
GGAP_AF,AF 6.2,AF 6.2.2,6,42
GGAP_AF,AF 6.2,AF 6.2.3,6,35
GGAP_AF,AF 6.2,AF 6.2.4,6,42
GGAP_AF,AF 6.2,AF 6.2.5,6,25
GGAP_AF,AF 6.2,AF 6.2.5,6,36
GGAP_AF,AF 7.1,AF 7.1.1,4,47
GGAP_AF,AF 7.1,AF 7.1.1,4,48
GGAP_AF,AF 7.1,AF 7.1.1,4,49
GGAP_AF,AF 7.1,AF 7.1.2,4,31
GGAP_AF,AF 7.1,AF 7.1.2,4,47
GGAP_AF,AF 7.1,AF 7.1.2,4,48
GGAP_AF,AF 7.1,AF 7.1.2,4,49
GGAP_AF,AF 7.2,AF 7.2.1,6,47
GGAP_AF,AF 7.2,AF 7.2.1,6,48
GGAP_AF,AF 7.2,AF 7.2.1,6,49
GGAP_AF,AF 7.3,AF 7.3.1,5,8
GGAP_AF,AF 7.3,AF 7.3.2,4,8
GGAP_AF,AF 7.3,AF 7.3.3,4,39
GGAP_AF,AF 7.3,AF 7.3.4,6,11
GGAP_AF,AF 8,AF 8.1,6,30
GGAP_AF,AF 9,AF 9.1,6,30
GGAP_AF,AF 10,AF 10.1,12,27
GGAP_AF,AF 11,AF 11.1,#N/A,#N/A
GGAP_AF,AF 12,AF 12.1,#N/A,#N/A
